LHCBEAM/MOMENTUM,LHCBEAM/MOMENTUM
X,Y
869.0,4612.5452
873.0,4635.7084
877.0,4658.8715
881.0,4682.0347
885.0,4705.1978
889.0,4728.361
893.0,4751.5241
897.0,4774.6873
901.0,4797.8505
905.0,4821.0136
909.0,4844.1768
913.0,4867.3399
917.0,4890.5031
921.0,4913.6662
925.0,4936.8294
929.0,4959.9926
933.0,4983.1557
937.0,5006.3189
941.0,5029.482
945.0,5052.6452
949.0,5075.8084
953.0,5098.9715
957.0,5122.1347
961.0,5145.2978
965.0,5168.461
969.0,5191.6241
973.0,5214.7873
977.0,5237.9505
981.0,5261.1136
985.0,5284.2768
989.0,5307.4399
993.0,5330.6031
997.0,5353.7662
1001.0,5376.9294
1005.0,5400.0926
1009.0,5423.2557
1013.0,5446.4189
1017.0,5469.582
1021.0,5492.7452
1025.0,5515.9084
1029.0,5539.0715
1033.0,5562.2347
1037.0,5585.3978
1041.0,5608.561
1045.0,5631.7241
1049.0,5654.8873
1053.0,5678.0505
1057.0,5701.2136
1061.0,5724.3768
1065.0,5747.5399
1069.0,5770.7031
1073.0,5793.8662
1077.0,5817.0294
1081.0,5840.1926
1085.0,5863.3557
1089.0,5886.5189
1093.0,5909.682
1097.0,5932.8452
1101.0,5956.0084
1105.0,5979.1715
1109.0,6002.3347
1113.0,6025.4978
1117.0,6048.661
1121.0,6071.8241
1125.0,6094.9873
1129.0,6118.1505
1133.0,6141.3136
1137.0,6164.4768
1141.0,6187.6399
1145.0,6210.8031
1149.0,6233.9662
1153.0,6257.1294
1157.0,6280.2926
1161.0,6303.4557
1165.0,6326.6189
1169.0,6349.782
1173.0,6372.9452
1177.0,6396.1084
1181.0,6419.2715
1183.7161,6435.0
1183.9161,6436.153
1184.1161,6437.2957
1184.3161,6438.428
1184.5161,6439.5501
1184.7161,6440.6618
1184.9161,6441.7632
1185.1161,6442.8543
1185.3161,6443.9351
1185.5161,6445.0055
1185.7161,6446.0657
1185.9161,6447.1155
1186.1161,6448.155
1186.3161,6449.1842
1186.5161,6450.2031
1186.7161,6451.2116
1186.9161,6452.2098
1187.1161,6453.1977
1187.3161,6454.1753
1187.5161,6455.1426
1187.7161,6456.0996
1187.9161,6457.0462
1188.1161,6457.9825
1188.3161,6458.9085
1188.5161,6459.8242
1188.7161,6460.7296
1188.9161,6461.6246
1189.1161,6462.5094
1189.3161,6463.3838
1189.5161,6464.2479
1189.7161,6465.1017
1189.9161,6465.9451
1190.1161,6466.7783
1190.3161,6467.6011
1190.5161,6468.4136
1190.7161,6469.2158
1190.9161,6470.0077
1191.1161,6470.7892
1191.3161,6471.5605
1191.5161,6472.3214
1191.7161,6473.072
1191.9161,6473.8123
1192.1161,6474.5422
1192.3161,6475.2619
1192.5161,6475.9712
1192.7161,6476.6702
1192.9161,6477.3589
1193.1161,6478.0373
1193.3161,6478.7053
1193.5161,6479.3631
1193.7161,6480.0105
1193.9161,6480.6476
1194.1161,6481.2744
1194.3161,6481.8908
1194.5161,6482.497
1194.7161,6483.0928
1194.9161,6483.6783
1195.1161,6484.2535
1195.3161,6484.8184
1195.5161,6485.373
1195.7161,6485.9172
1195.9161,6486.4511
1196.1161,6486.9747
1196.3161,6487.488
1196.5161,6487.991
1196.7161,6488.4837
1196.9161,6488.966
1197.1161,6489.438
1197.3161,6489.8997
1197.5161,6490.3511
1197.7161,6490.7921
1197.9161,6491.2229
1198.1161,6491.6433
1198.3161,6492.0534
1198.5161,6492.4532
1198.7161,6492.8427
1198.9161,6493.2218
1199.1161,6493.5907
1199.3161,6493.9492
1199.5161,6494.2974
1199.7161,6494.6353
1199.9161,6494.9629
1200.1161,6495.2801
1200.3161,6495.587
1200.5161,6495.8836
1200.7161,6496.1699
1200.9161,6496.4459
1201.1161,6496.7116
1201.3161,6496.9669
1201.5161,6497.2119
1201.7161,6497.4466
1201.9161,6497.671
1202.1161,6497.8851
1202.3161,6498.0888
1202.5161,6498.2823
1202.7161,6498.4654
1202.9161,6498.6382
1203.1161,6498.8007
1203.3161,6498.9528
1203.5161,6499.0947
1203.7161,6499.2262
1203.9161,6499.3474
1204.1161,6499.4583
1204.3161,6499.5589
1204.5161,6499.6491
1204.7161,6499.729
1204.9161,6499.7987
1205.1161,6499.858
1205.3161,6499.9069
1205.5161,6499.9456
1205.7161,6499.9739
1205.9161,6499.992
1206.1161,6500.0
