LHCBEAM/MOMENTUM,LHCBEAM/MOMENTUM
X,Y
0.0,450.0
1.0,450.01
2.0,450.04
3.0,450.0899
4.0,450.1599
5.0,450.2498
6.0,450.3597
7.0,450.4896
8.0,450.6395
9.0,450.8093
10.0,450.9992
11.0,451.209
12.0,451.4388
13.0,451.6886
14.0,451.9584
15.0,452.2481
16.0,452.5579
17.0,452.8876
18.0,453.2373
19.0,453.607
20.0,453.9967
21.0,454.4064
22.0,454.836
23.0,455.2856
24.0,455.7553
25.0,456.2449
26.0,456.7544
27.0,457.284
28.0,457.8336
29.0,458.4031
30.0,458.9926
31.0,459.6021
32.0,460.2316
33.0,460.881
34.0,461.5505
35.0,462.2399
36.0,462.9493
37.0,463.6787
38.0,464.4281
39.0,465.1975
40.0,465.9868
41.0,466.7962
42.0,467.6255
43.0,468.4748
44.0,469.3441
45.0,470.2333
46.0,471.1426
47.0,472.0718
48.0,473.0211
49.0,473.9903
50.0,474.9794
51.0,475.9886
52.0,477.0178
53.0,478.0669
54.0,479.136
55.0,480.2251
56.0,481.3342
57.0,482.4633
58.0,483.6123
59.0,484.7814
60.0,485.9704
61.0,487.1794
62.0,488.4084
63.0,489.6574
64.0,490.9263
65.0,492.2153
66.0,493.5242
67.0,494.8531
68.0,496.202
69.0,497.5708
70.0,498.9597
71.0,500.3685
72.0,501.7974
73.0,503.2462
74.0,504.715
75.0,506.2037
76.0,507.7125
77.0,509.2412
78.0,510.79
79.0,512.3587
80.0,513.9474
81.0,515.556
82.0,517.1847
83.0,518.8333
84.0,520.502
85.0,522.1906
86.0,523.8992
87.0,525.6278
88.0,527.3763
89.0,529.1449
90.0,530.9334
91.0,532.7419
92.0,534.5704
93.0,536.4189
94.0,538.2873
95.0,540.1758
96.0,542.0842
97.0,544.0126
98.0,545.961
99.0,547.9294
100.0,549.9178
101.0,551.9261
102.0,553.9544
103.0,556.0028
104.0,558.0711
105.0,560.1593
106.0,562.2676
107.0,564.3958
108.0,566.5441
109.0,568.7123
110.0,570.9005
111.0,573.1087
112.0,575.3368
113.0,577.585
114.0,579.8531
115.0,582.1412
116.0,584.4493
117.0,586.7774
118.0,589.1255
119.0,591.4935
120.0,593.8816
121.0,596.2896
122.0,598.7176
123.0,601.1656
124.0,603.6336
125.0,606.1215
126.0,608.6294
127.0,611.1574
128.0,613.7053
129.0,616.2731
130.0,618.861
131.0,621.4689
132.0,624.0967
133.0,626.7445
134.0,629.4123
135.0,632.1001
136.0,634.8079
137.0,637.5356
138.0,640.2834
139.0,643.0511
140.0,645.8388
141.0,648.6465
142.0,651.4742
143.0,654.3218
144.0,657.1895
145.0,660.0771
146.0,662.9847
147.1552,666.3648
151.1552,678.2031
155.1552,690.2517
159.1552,702.5143
163.1552,714.9948
167.1552,727.697
171.1552,740.6249
175.1552,753.7824
179.1552,767.1737
183.1552,780.8029
187.1552,794.6742
191.1552,808.7919
195.1552,823.1605
199.1552,837.7843
203.1552,852.6679
207.1552,867.8159
211.1552,883.2331
215.1552,898.9241
219.1552,914.8939
223.1552,931.1474
227.1552,947.6897
231.1552,964.5258
235.1552,981.661
239.1552,999.1007
243.1552,1016.8502
247.1552,1034.915
251.1552,1053.3007
255.1552,1072.0131
259.1552,1091.0578
263.1552,1110.441
267.1552,1130.1685
271.1552,1150.2464
275.1552,1170.6811
279.1552,1191.4787
283.1552,1212.6459
287.1552,1234.1891
291.1552,1256.115
295.1552,1278.4305
298.5875,1297.8947
299.0,1300.2516
303.0,1323.1069
307.0,1345.9622
311.0,1368.8174
315.0,1391.6727
319.0,1414.528
323.0,1437.3832
327.0,1460.2385
331.0,1483.0938
335.0,1505.949
339.0,1528.8043
343.0,1551.6595
347.0,1574.5148
351.0,1597.3701
355.0,1620.2253
359.0,1643.0806
363.0,1665.9359
367.0,1688.7911
371.0,1711.6464
375.0,1734.5016
379.0,1757.3569
383.0,1780.2122
387.0,1803.0674
391.0,1825.9227
395.0,1848.778
399.0,1871.6332
403.0,1894.4885
407.0,1917.3438
411.0,1940.199
415.0,1963.0543
419.0,1985.9095
423.0,2008.7648
427.0,2031.6201
431.0,2054.4753
435.0,2077.3306
439.0,2100.1859
443.0,2123.0411
447.0,2145.8964
451.0,2168.7516
455.0,2191.6069
459.0,2214.4622
463.0,2237.3174
467.0,2260.1727
471.0,2283.028
475.0,2305.8832
479.0,2328.7385
483.0,2351.5938
487.0,2374.449
491.0,2397.3043
495.0,2420.1595
499.0,2443.0148
503.0,2465.8701
507.0,2488.7253
511.0,2511.5806
515.0,2534.4359
519.0,2557.2911
523.0,2580.1464
527.0,2603.0016
531.0,2625.8569
535.0,2648.7122
539.0,2671.5674
543.0,2694.4227
547.0,2717.278
551.0,2740.1332
555.0,2762.9885
559.0,2785.8438
563.0,2808.699
567.0,2831.5543
571.0,2854.4095
575.0,2877.2648
579.0,2900.1201
583.0,2922.9753
587.0,2945.8306
591.0,2968.6859
595.0,2991.5411
599.0,3014.3964
603.0,3037.2516
607.0,3060.1069
611.0,3082.9622
615.0,3105.8174
619.0,3128.6727
623.0,3151.528
627.0,3174.3832
631.0,3197.2385
635.0,3220.0938
639.0,3242.949
643.0,3265.8043
647.0,3288.6595
651.0,3311.5148
655.0,3334.3701
659.0,3357.2253
663.0,3380.0806
667.0,3402.9359
671.0,3425.7911
675.0,3448.6464
679.0,3471.5016
683.0,3494.3569
687.0,3517.2122
691.0,3540.0674
695.0,3562.9227
699.0,3585.778
703.0,3608.6332
707.0,3631.4885
711.0,3654.3438
715.0,3677.199
719.0,3700.0543
723.0,3722.9095
727.0,3745.7648
731.0,3768.6201
735.0,3791.4753
739.0,3814.3306
743.0,3837.1859
747.0,3860.0411
751.0,3882.8964
755.0,3905.7516
759.0,3928.6069
763.0,3951.4622
767.0,3974.3174
771.0,3997.1727
775.0,4020.028
779.0,4042.8832
783.0,4065.7385
787.0,4088.5938
791.0,4111.449
795.0,4134.3043
799.0,4157.1595
803.0,4180.0148
807.0,4202.8701
811.0,4225.7253
815.0,4248.5806
819.0,4271.4359
823.0,4294.2911
827.0,4317.1464
831.0,4340.0016
835.0,4362.8569
839.0,4385.7122
843.0,4408.5674
847.0,4431.4227
851.0,4454.278
855.0,4477.1332
859.0,4499.9885
863.0,4522.8438
867.0,4545.699
