LHCBEAM/MOMENTUM,LHCBEAM/MOMENTUM
871.0,4568.5543
875.0,4591.4095
879.0,4614.2648
883.0,4637.1201
887.0,4659.9753
891.0,4682.8306
895.0,4705.6859
899.0,4728.5411
903.0,4751.3964
907.0,4774.2516
911.0,4797.1069
915.0,4819.9622
919.0,4842.8174
923.0,4865.6727
927.0,4888.528
931.0,4911.3832
935.0,4934.2385
939.0,4957.0938
943.0,4979.949
947.0,5002.8043
951.0,5025.6595
955.0,5048.5148
959.0,5071.3701
963.0,5094.2253
967.0,5117.0806
971.0,5139.9359
975.0,5162.7911
979.0,5185.6464
983.0,5208.5016
987.0,5231.3569
991.0,5254.2122
995.0,5277.0674
999.0,5299.9227
1003.0,5322.778
1007.0,5345.6332
1011.0,5368.4885
1015.0,5391.3438
1019.0,5414.199
1023.0,5437.0543
1027.0,5459.9095
1031.0,5482.7648
1035.0,5505.6201
1039.0,5528.4753
1043.0,5551.3306
1047.0,5574.1859
1051.0,5597.0411
1055.0,5619.8964
1059.0,5642.7516
1063.0,5665.6069
1067.0,5688.4622
1071.0,5711.3174
1075.0,5734.1727
1079.0,5757.028
1083.0,5779.8832
1087.0,5802.7385
1091.0,5825.5938
1095.0,5848.449
1099.0,5871.3043
1103.0,5894.1595
1107.0,5917.0148
1111.0,5939.8701
1115.0,5962.7253
1119.0,5985.5806
1123.0,6008.4359
1127.0,6031.2911
1131.0,6054.1464
1135.0,6077.0016
1139.0,6099.8569
1143.0,6122.7122
1147.0,6145.5674
1151.0,6168.4227
1155.0,6191.278
1159.0,6214.1332
1163.0,6236.9885
1167.0,6259.8438
1171.0,6282.699
1175.0,6305.5543
1179.0,6328.4095
1183.0,6351.2648
1187.0,6374.1201
1191.0,6396.9753
1195.0,6419.8306
1199.0,6442.6859
1203.0,6465.5411
1207.0,6488.3964
1211.0,6511.2516
1215.0,6534.1069
1219.0,6556.9622
1223.0,6579.8174
1227.0,6602.6727
1231.0,6625.528
1235.0,6648.3832
1239.0,6671.2385
1243.0,6694.0938
1247.0,6716.949
1249.6341,6732.0
1249.8341,6733.138
1250.0341,6734.2663
1250.2341,6735.3851
1250.4341,6736.4942
1250.6341,6737.5938
1250.8341,6738.6837
1251.0341,6739.7641
1251.2341,6740.8348
1251.4341,6741.896
1251.6341,6742.9475
1251.8341,6743.9895
1252.0341,6745.0218
1252.2341,6746.0445
1252.4341,6747.0577
1252.6341,6748.0612
1252.8341,6749.0551
1253.0341,6750.0394
1253.2341,6751.0142
1253.4341,6751.9793
1253.6341,6752.9348
1253.8341,6753.8807
1254.0341,6754.817
1254.2341,6755.7438
1254.4341,6756.6609
1254.6341,6757.5684
1254.8341,6758.4663
1255.0341,6759.3546
1255.2341,6760.2333
1255.4341,6761.1024
1255.6341,6761.9619
1255.8341,6762.8118
1256.0341,6763.6521
1256.2341,6764.4828
1256.4341,6765.3038
1256.6341,6766.1153
1256.8341,6766.9172
1257.0341,6767.7095
1257.2341,6768.4922
1257.4341,6769.2652
1257.6341,6770.0287
1257.8341,6770.7826
1258.0341,6771.5269
1258.2341,6772.2615
1258.4341,6772.9866
1258.6341,6773.7021
1258.8341,6774.4079
1259.0341,6775.1042
1259.2341,6775.7908
1259.4341,6776.4679
1259.6341,6777.1353
1259.8341,6777.7932
1260.0341,6778.4414
1260.2341,6779.0801
1260.4341,6779.7091
1260.6341,6780.3286
1260.8341,6780.9384
1261.0341,6781.5386
1261.2341,6782.1293
1261.4341,6782.7103
1261.6341,6783.2817
1261.8341,6783.8435
1262.0341,6784.3958
1262.2341,6784.9384
1262.4341,6785.4714
1262.6341,6785.9948
1262.8341,6786.5086
1263.0341,6787.0129
1263.2341,6787.5075
1263.4341,6787.9925
1263.6341,6788.4679
1263.8341,6788.9337
1264.0341,6789.3899
1264.2341,6789.8365
1264.4341,6790.2735
1264.6341,6790.7009
1264.8341,6791.1187
1265.0341,6791.5269
1265.2341,6791.9254
1265.4341,6792.3144
1265.6341,6792.6938
1265.8341,6793.0636
1266.0341,6793.4238
1266.2341,6793.7744
1266.4341,6794.1153
1266.6341,6794.4467
1266.8341,6794.7685
1267.0341,6795.0806
1267.2341,6795.3832
1267.4341,6795.6762
1267.6341,6795.9595
1267.8341,6796.2333
1268.0341,6796.4974
1268.2341,6796.752
1268.4341,6796.9969
1268.6341,6797.2323
1268.8341,6797.458
1269.0341,6797.6742
1269.2341,6797.8807
1269.4341,6798.0777
1269.6341,6798.265
1269.8341,6798.4427
1270.0341,6798.6109
1270.2341,6798.7694
1270.4341,6798.9183
1270.6341,6799.0577
1270.8341,6799.1874
1271.0341,6799.3075
1271.2341,6799.418
1271.4341,6799.5189
1271.6341,6799.6103
1271.8341,6799.692
1272.0341,6799.7641
1272.2341,6799.8266
1272.4341,6799.8795
1272.6341,6799.9228
1272.8341,6799.9565
1273.0341,6799.9806
1273.2341,6799.9951
1273.4341,6800.0
1275.0,6800.0
